feature,importance
vibration_ema_12,5.640444708124363
pressure_rolling_var_6h,4.783458392223969
pressure_rolling_min_6h,3.0599328585514303
pressure_rolling_std_12h,3.030319714683662
temperature_rolling_min_6h,2.7189545858466633
temperature_rolling_std_6h,2.292600796091678
pressure_rolling_range_6h,2.2866451872423754
pressure_rolling_mean_12h,2.286259360409605
pressure_rolling_mean_6h,2.24527084975551
vibration_rolling_std_12h,2.1517686182501707
temperature_rolling_max_6h,2.1159834270637656
vibration_rolling_range_6h,2.0516721764318686
pressure_ema_24,2.048766359563965
pressure_rolling_std_6h,1.976905621994163
vibration_rolling_mean_12h,1.904741966831429
vibration_rolling_min_6h,1.834661798857752
temperature_rolling_mean_12h,1.7909658684352248
pressure_rolling_slope_6h,1.7025036943042866
pressure_delta_mean_1h_6h,1.6586557334242618
vibration_pressure,1.634427184968323
vibration_rolling_std_6h,1.4282056451434586
pressure_rolling_range_12h,1.3283716051354124
pressure_rolling_min_12h,1.3208338258037178
temperature_pressure,1.2986814696663764
vibration_rolling_min_12h,1.222039412420309
temperature_rolling_var_6h,1.180765552319006
temperature_ema_24,1.1632366978509523
vibration_rolling_range_12h,1.141549431206526
pressure_lag_2,1.1347776234934024
temperature_rolling_var_12h,1.1335263567032958
temperature_rolling_mean_6h,1.070826046085606
pressure_roc_1,1.0600325766371679
temperature_rolling_range_6h,1.0545361701363694
temperature_delta_mean_1h_6h,1.026762237044358
pressure_rolling_max_6h,1.023587483663753
temperature_rolling_max_12h,0.954684987643079
pressure_rolling_var_12h,0.9359761828738662
temperature_vibration,0.9128113614404051
vibration_ema_24,0.900053978546433
vibration_rolling_var_6h,0.8841128771266432
pressure_lag_1,0.7945495726917248
temperature_rolling_range_12h,0.7274125863517583
pressure_rolling_max_12h,0.621537558930187
vibration_rolling_var_12h,0.5018790788642785
pressure_ema_12,0.43794006856746653
vibration_delta_mean_1h_6h,0.4259479734559304
temperature_lag_2,0.385307067157826
temperature_rolling_mean_1h,0.2858276867506279
temperature_rolling_min_1h,0.2858276867506279
temperature_rolling_max_1h,0.2858276867506279
temperature,0.2858276867506279
temperature_rolling_min_12h,0.2659953008589624
temperature_lag_1,0.25768955536451454
vibration_lag_2,0.22758827760981004
vibration_rolling_mean_6h,0.21330946144361615
temperature_ema_12,0.2029261343920396
hours_since_last_failure,0.18817180488897606
vibration_roc_1,0.18474928986680744
vibration_rolling_max_12h,0.18469717306672429
vibration_lag_1,0.16313232253069554
temperature_rolling_std_12h,0.06750641948386621
vibration_rolling_max_6h,0.059093990990037565
temperature_roc_1,0.05525117910487934
pressure_rolling_mean_1h,0.019958142771480277
pressure_rolling_max_1h,0.019958142771480277
pressure,0.019958142771480277
pressure_rolling_min_1h,0.019958142771480277
vibration_rolling_max_1h,0.01767180681721939
vibration_rolling_mean_1h,0.01767180681721939
vibration,0.01767180681721939
vibration_rolling_min_1h,0.01767180681721939
temperature_rolling_slope_6h,0.010744225702945883
vibration_rolling_slope_6h,0.005407456597553063
pressure_rolling_var_1h,0.0
temperature_rolling_std_1h,0.0
temperature_rolling_range_1h,0.0
pressure_rolling_range_1h,0.0
pressure_rolling_std_1h,0.0
temperature_rolling_var_1h,0.0
vibration_rolling_range_1h,0.0
vibration_rolling_std_1h,0.0
vibration_rolling_var_1h,0.0
