feature,importance
vibration_pressure,0.04487268861878148
vibration_rolling_mean_1h,0.04075819845818853
vibration_rolling_min_1h,0.039957474680735516
vibration_lag_1,0.036016851640738784
vibration_ema_24,0.03338348112327847
pressure_rolling_std_6h,0.030971459226305252
vibration_rolling_std_12h,0.030075189413029894
vibration_ema_12,0.027623159661338312
vibration_rolling_max_1h,0.02579689154315981
pressure_rolling_var_6h,0.024795863518538727
vibration,0.024559067339682862
pressure_lag_2,0.022570735414724333
vibration_rolling_var_12h,0.02085814422781459
pressure_rolling_range_6h,0.02045854136348297
vibration_rolling_min_6h,0.01883371781709872
vibration_rolling_mean_6h,0.01844647558797025
vibration_rolling_max_12h,0.01758701140596363
pressure_rolling_var_12h,0.017215266444651534
vibration_rolling_mean_12h,0.016243919711787135
vibration_lag_2,0.01608738907873057
vibration_rolling_range_12h,0.015734658743563227
pressure_rolling_std_12h,0.0144842477808179
temperature_roc_1,0.014352347874001081
vibration_rolling_max_6h,0.013986370139413302
vibration_rolling_std_6h,0.013718042395839214
pressure_ema_24,0.013665396826327732
temperature_vibration,0.013475647894086592
pressure_rolling_range_12h,0.013337063207815686
temperature_rolling_max_12h,0.01289158279511146
vibration_rolling_slope_6h,0.012844084366643535
temperature_rolling_var_6h,0.012533748369679059
pressure_rolling_max_12h,0.012522620267035432
pressure_rolling_max_6h,0.012173016908804148
pressure_delta_mean_1h_6h,0.012004165643035471
temperature_rolling_range_6h,0.011389741583288744
pressure_roc_1,0.011204595641286768
temperature_ema_24,0.010595389289833619
temperature_rolling_mean_6h,0.010481208163537028
pressure_rolling_max_1h,0.010466444770977825
pressure_rolling_min_6h,0.01029640832509475
pressure_rolling_min_1h,0.010176892958862798
pressure,0.01006050280703334
temperature_rolling_std_6h,0.009294436742501584
vibration_rolling_range_6h,0.009246217539154465
temperature_rolling_var_12h,0.00904453986571361
pressure_lag_1,0.009007365092317355
temperature_rolling_min_6h,0.008992510020886052
temperature_ema_12,0.008875634860626605
temperature_rolling_slope_6h,0.008800374978796748
pressure_ema_12,0.008749028062246695
pressure_rolling_mean_12h,0.0081533135713052
pressure_rolling_slope_6h,0.006767924721252503
pressure_rolling_min_12h,0.006719899207432386
hours_since_last_failure,0.0064932482128226025
vibration_rolling_min_12h,0.006436545724466242
temperature_rolling_mean_12h,0.006357285566874311
pressure_rolling_mean_1h,0.006276238302489522
temperature_rolling_mean_1h,0.006048500179967027
temperature_lag_1,0.005900437284647057
temperature,0.00585038875293749
temperature_pressure,0.005688992119502018
temperature_rolling_min_12h,0.00562371292334986
temperature_rolling_min_1h,0.005527241464655072
temperature_rolling_range_12h,0.005474313590301935
temperature_rolling_max_6h,0.005461450595307861
temperature_rolling_std_12h,0.0054135718307373815
temperature_delta_mean_1h_6h,0.00512310110477198
vibration_roc_1,0.00494813513033145
vibration_delta_mean_1h_6h,0.004847924673524799
temperature_lag_2,0.004494150496095219
vibration_rolling_var_6h,0.0042871495044975606
pressure_rolling_mean_6h,0.003551883276126357
temperature_rolling_max_1h,0.003038781576270952
pressure_rolling_var_1h,0.0
temperature_rolling_std_1h,0.0
temperature_rolling_range_1h,0.0
pressure_rolling_range_1h,0.0
pressure_rolling_std_1h,0.0
temperature_rolling_var_1h,0.0
vibration_rolling_range_1h,0.0
vibration_rolling_std_1h,0.0
vibration_rolling_var_1h,0.0
