feature,importance
vibration_rolling_var_12h,0.22571652
vibration,0.07551685
vibration_rolling_mean_6h,0.07445008
vibration_rolling_std_12h,0.041388147
pressure_roc_1,0.03799428
vibration_ema_24,0.033772282
temperature_ema_12,0.032634355
pressure_ema_24,0.031822767
pressure_rolling_std_6h,0.028568953
vibration_rolling_mean_12h,0.025373185
pressure_rolling_std_12h,0.023375602
pressure,0.02016402
vibration_ema_12,0.019981652
vibration_roc_1,0.019906318
pressure_lag_2,0.019886393
temperature_rolling_mean_12h,0.019699495
vibration_lag_1,0.019313255
pressure_lag_1,0.018738706
temperature_ema_24,0.017899211
temperature_lag_1,0.01760076
temperature_lag_2,0.017501146
temperature_rolling_std_12h,0.01687033
temperature_roc_1,0.01597922
temperature_rolling_var_6h,0.015503388
vibration_rolling_std_6h,0.014845097
pressure_ema_12,0.01456307
temperature_rolling_mean_6h,0.013507888
temperature_rolling_std_6h,0.013293457
temperature,0.013144417
vibration_lag_2,0.013078442
pressure_rolling_mean_6h,0.011937363
pressure_rolling_mean_12h,0.010154667
pressure_rolling_var_6h,0.008095685
vibration_rolling_mean_1h,0.0071202717
temperature_rolling_var_12h,0.006101383
pressure_rolling_var_12h,0.002414603
pressure_rolling_mean_1h,0.0011511492
vibration_rolling_var_6h,0.0009355667
pressure_rolling_std_1h,0.0
temperature_rolling_mean_1h,0.0
pressure_rolling_var_1h,0.0
temperature_rolling_var_1h,0.0
temperature_rolling_std_1h,0.0
vibration_rolling_std_1h,0.0
vibration_rolling_var_1h,0.0
